Julyan Stone, 1.00
Chris Wilcox, 0.72
Viacheslav Kravtsov, 0.72
Brandon Rush, 0.67
Henry Sims, 0.67
DeAndre Jordan, 0.63
Chris Johnson, 0.64
Tyson Chandler, 0.64
Greg Smith, 0.62
Ryan Hollins, 0.63
Jeremy Evans, 0.58
Andre Drummond, 0.61
Hasheem Thabeet, 0.62
Kenyon Martin, 0.60
Brandan Wright, 0.60
Nick Collison, 0.59
Shavlik Randolph, 0.60
Arnett Moultrie, 0.59
Kosta Koufos, 0.57
Dwight Howard, 0.58
Chris Andersen, 0.59
Amar'e Stoudemire, 0.58
JaVale McGee, 0.57
Serge Ibaka, 0.58
LeBron James, 0.57
J.J. Hickson, 0.56
Quincy Acy, 0.54
Tiago Splitter, 0.56
Jonas Valanciunas, 0.56
Amir Johnson, 0.55
Kenneth Faried, 0.56
Gustavo Ayon, 0.57
Cole Aldrich, 0.56
Meyers Leonard, 0.55
Enes Kanter, 0.54
Al Horford, 0.55
Kurt Thomas, 0.57
Samuel Dalembert, 0.54
Omer Asik, 0.53
Carl Landry, 0.54
Ed Davis, 0.53
Boris Diaw, 0.55
Blake Griffin, 0.54
Chris Bosh, 0.54
Robin Lopez, 0.53
Aaron Gray, 0.52
Thaddeus Young, 0.53
Andrew Nicholson, 0.52
Juwan Howard, 0.52
DeJuan Blair, 0.52
D.J. White, 0.53
Tony Parker, 0.52
Marcin Gortat, 0.52
Brook Lopez, 0.52
Dwyane Wade, 0.52
Ivan Johnson, 0.52
Nikola Pekovic, 0.52
David Lee, 0.52
Nikola Vucevic, 0.52
Mickael Gelabale, 0.51
Anthony Davis, 0.52
Joel Anthony, 0.55
Bernard James, 0.55
Shawn Marion, 0.51
Udonis Haslem, 0.52
Kyle O'Quinn, 0.51
Patrick Patterson, 0.51
Andray Blatche, 0.51
Kevin Durant, 0.51
Chris Kaman, 0.51
Andrei Kirilenko, 0.50
Larry Sanders, 0.51
Timofey Mozgov, 0.52
Ronny Turiaf, 0.53
Tim Duncan, 0.50
Jason Thompson, 0.51
Jan Vesely, 0.50
Lance Thomas, 0.50
Malcolm Thomas, 0.50
Eddy Curry, 0.50
Fab Melo, 0.50
Scott Machado, 0.50
Josh Akognon, 0.54
David West, 0.50
Jordan Hill, 0.51
Terrence Williams, 0.50
Evan Fournier, 0.50
Jared Sullinger, 0.50
Trevor Booker, 0.50
Andris Biedrins, 0.50
